Date,Occupancy,PricePerNight,Revenue,PropertyID,GuestID,ReviewSummary
2024-08-05,1,169,169,P001,G1001,"A perfect stay, felt like home!"
2024-08-06,1,123,123,P001,G1001,"Loved the location, very convenient!"
2024-08-07,1,85,85,P001,G1001,"A perfect stay, felt like home!"
2024-08-08,1,134,134,P001,G1001,"Super cozy, highly recommend!"
2024-08-09,0,196,0,P001,G0,
2024-08-10,1,202,202,P001,G1002,Host was very responsive and helpful!
2024-08-11,1,191,191,P001,G1002,"A perfect stay, felt like home!"
2024-08-12,1,104,104,P001,G1002,"Super cozy, highly recommend!"
2024-08-13,1,139,139,P001,G1002,"Loved the location, very convenient!"
2024-08-14,1,119,119,P001,G1002,"Loved the location, very convenient!"
2024-08-15,1,87,87,P001,G1002,"Amazing stay, very clean and comfortable!"
2024-08-16,1,166,166,P001,G1002,Great value for the price!
2024-08-17,1,209,209,P001,G1002,Great value for the price!
2024-08-18,1,196,196,P001,G1003,"Clean and well-maintained, fantastic experience!"
2024-08-19,1,123,123,P001,G1003,"Great experience, would book again!"
2024-08-20,1,112,112,P001,G1003,"Super cozy, highly recommend!"
2024-08-21,1,164,164,P001,G1003,"Great experience, would book again!"
2024-08-22,1,76,76,P001,G1003,"Super cozy, highly recommend!"
2024-08-23,1,192,192,P001,G1003,"Excellent amenities, everything as described!"
2024-08-24,1,165,165,P001,G1003,"Super cozy, highly recommend!"
2024-08-25,1,170,170,P001,G1003,"Super cozy, highly recommend!"
2024-08-26,1,99,99,P001,G1003,Host was very responsive and helpful!
2024-08-27,1,137,137,P001,G1003,"A perfect stay, felt like home!"
2024-08-28,1,122,122,P001,G1001,"Too loud at night, difficult to sleep."
2024-08-29,1,76,76,P001,G1001,"Great experience, would book again!"
2024-08-30,1,144,144,P001,G1001,"Clean and well-maintained, fantastic experience!"
2024-08-31,1,135,135,P001,G1001,Host was very responsive and helpful!
2024-09-01,1,179,179,P001,G1004,"A perfect stay, felt like home!"
2024-09-02,1,155,155,P001,G1004,"Loved the location, very convenient!"
2024-09-03,0,147,0,P001,G0,
2024-09-04,1,133,133,P001,G1005,Would definitely stay here again!
2024-09-05,1,133,133,P001,G1006,"Clean and well-maintained, fantastic experience!"
2024-09-06,1,190,190,P001,G1007,"Super cozy, highly recommend!"
2024-09-07,1,158,158,P001,G1007,"Clean and well-maintained, fantastic experience!"
2024-09-08,1,147,147,P001,G1007,Would definitely stay here again!
2024-09-09,1,72,72,P001,G1007,Host was very responsive and helpful!
2024-09-10,1,136,136,P001,G1007,"A perfect stay, felt like home!"
2024-09-11,1,102,102,P001,G1007,Would definitely stay here again!
2024-09-12,1,124,124,P001,G1007,Would definitely stay here again!
2024-09-13,1,139,139,P001,G1007,"Amazing stay, very clean and comfortable!"
2024-09-14,1,187,187,P001,G1008,"Great experience, would book again!"
2024-09-15,1,191,191,P001,G1008,"Loved the location, very convenient!"
2024-09-16,1,133,133,P001,G1008,"Clean and well-maintained, fantastic experience!"
2024-09-17,1,125,125,P001,G1008,"Loved the location, very convenient!"
2024-09-18,1,72,72,P001,G1008,"Clean and well-maintained, fantastic experience!"
2024-09-19,1,81,81,P001,G1008,"Amazing stay, very clean and comfortable!"
2024-09-20,1,181,181,P001,G1008,Host was very responsive and helpful!
